,advisor,author,created,abstract,uri,title,discipline
0,"Correa Aste, Norma Belén","Dellepiane Bracale, Laura Lorena.",2017,"La presente tesis busca narrar las estrategias de vida de cinco familias adoptivas en Lima Metropolitana. Se buscó conocer la historia de estas familias y de sus diferentes miembros. Este informe espera aportar a las nuevas teorías del parentesco y de relación filial, en especial desde la perspectiva de las familias adoptivas quienes tienen una manera particular de ver el parentesco. Además sumar al conocimiento en el país sobre la adopción, espacio que aún se considera poco desarrollado. Los ámbitos en donde la adopción y sus alcances han sido cruciales para la decisión de las estrategias de vida y adaptación a tomar son reducidos. Se ha encontrado que las vidas de las familias adoptivas y su entorno no son distintas a la de uno mismo. Se puede afirmar entonces que las estrategias de vida que utilizan las familias adoptivas dependerán de una serie de factores (no necesariamente relacionadas a la adopción) como el poder adquisitivo, trabajo estable, necesidad de mantener o velar por personas ajenas a la familia nuclear o incluso problemas de salud en la familia. Frente a esto, cada familia se ha adecuado a su propio contexto y utilizando sus propios conocimientos previos y actuales.",http://hdl.handle.net/20.500.12404/9176,"""Vivencias y estrategias de adaptación de cinco familias adoptivas de la Asociación Peruana ‘Ruruchay’ en Lima metropolitana""",Antropología
1,"Damonte Valencia, Gerardo Hector","Donayre Miranda, Fabio Emmanuel",2016,"La investigación busca responder a la cuestión de la construcción del sentido de lugar en sociedades sujetas a procesos de reasentamiento involuntario. Los objetivos son analizar los discursos y prácticas concretas que hacen posible la construcción de un espacio ajeno como ""propio"". Durante el trabajo de campo se buscó identificar narrativas culturales sobre la ciudad de Morococha, destruida lentamente en un largo y extenuante conflicto de baja intensidad con la empresa minera Chinalco; así como de la nueva ciudad construida como reemplazo del lugar perdido. Al medio de estas dos narrativas se encuentra un complicado un largo proceso de negociación entre la minera, las organizaciones sociales y los trabajadores de las diferentes empresas que operan en el distrito. Asimismo, se analizan prácticas cotidianas y rituales como la conmemoración de fechas importantes y fiestas religiosas que median el ""acostumbramiento"" de la gente a la nueva ciudad. A lo largo del siglo XX se dio en Morococha un proceso de nucleación urbana basada en la concentración de campamentos mineros de diversas empresas. Los descendientes de los trabajadores atraídos por el empleo en los socavones se asentaron, algunos reproduciendo la mano de obra minera y otros diversificando sus ingresos dedicándose al comercio y a servicios. Este modelo de ciudad-campamento dio lugar a interacciones particulares entre la fuerza de trabajo y la administración, posicionando al distrito como uno de los centros del movimiento obrero en el Perú. Las crisis inherentes al ciclo económico de los minerales y la proliferación de las services a fines de siglo dieron lugar a una desestructuración de los campamentos y al progresivo despoblamiento de la de la ciudad. El reasentamiento actual responde a nuevas necesidades materiales de organización de la mano de obra y a discursos de Responsabilidad Social de la industria extractiva.",http://hdl.handle.net/20.500.12404/9179,Políticas de lugar en Morococha : el contexto del reasentamiento por el proyecto minero Toromocho,Antropología
2,"Burneo de la Rocha, María Luisa","Espinosa Anaya, Nicola",2015,"La presente tesis analiza una de las dimensiones sociales de la pesca artesanal en balsilla que permitirá comprender cómo esta se desarrolla en un espacio-tiempo particular conformado por la playa y el mar. Dentro de la gran variedad de técnicas y embarcaciones artesanales, la pesca en balsilla es una de las más pequeñas y antiguas, junto al caballito de totora. Se caracteriza por ser una pesca a pequeña escala practicada principalmente por hombres mayores en colaboración con sus familias. La investigación se basa en un trabajo de campo realizado en la caleta piurana de La Tortuga entre los meses de marzo a mayo del 2014. El objetivo principal consiste en analizar cómo se configura el espacio (social) de la pesca tradicional en balsilla en dicho lugar. El texto está dividido en cuatro capítulos. En el primero se expone el diseño de la investigación, mostrando las preguntas que se buscan responder, las aproximaciones teóricas que se emplearán para el análisis de la data, la metodología utilizada para abordar los temas estudiados y una descripción del lugar de estudio. En el segundo capítulo se describe la práctica de la pesca artesanal en balsilla y se presenta como una habilidad inmersa en un espacio determinado que conjuga los conocimientos locales del medio natural, las técnicas de pesca empleadas y la impredictibilidad de la naturaleza marina. En el tercer capítulo se analiza la relación entre los tortugueños y la pesca en balsilla a partir de la historia de la caleta, los ritmos de la pesca en balsilla en cada estación del año, y el rol de esta actividad en la vida de los pescadores. Finalmente, en el cuarto capítulo se analizan las disputas por el uso y apropiación del espacio marino entre los pescadores como un reflejo de las diversas valoraciones de la pesca artesanal contrapuesta a la industrial.",http://hdl.handle.net/20.500.12404/9178,"La configuración del espacio (social) de la pesca artesanal en balsilla en la caleta de La Tortuga, Piura : usos y representaciones del espacio entre los pescadores de balsilla",Antropología
3,"Ames Ramello, Patricia Paola","Gastelú Jiménez, Roxana del Pilar",2016,"Esta investigación tiene como fin aproximarnos a las condiciones y experiencias que viven
las y los jóvenes asháninkas, varones y mujeres, en sus procesos de escolarización en el nivel secundaria y las trayectorias educativas que van construyendo en dicho tránsito. En un contexto de cambios que vienen experimentando las comunidades nativas amazónicas, esta investigación sostiene que la escolarización de estos jóvenes asháninkas no podrá ser comprendida si no es en diálogo con las actuales dinámicas y experiencias juveniles locales, por lo que la aproximación etnográfica que propone toma fundamental importancia. Asimismo, sin dejar de reconocer las condiciones de desigualdad y exclusión en las que viven, se destaca la capacidad de agencia de los y las jóvenes asháninkas que se expresa en las apropiaciones, negociaciones y resistencias vinculadas a su escolarización. Es decir, estos cumplen un rol activo en la toma de decisiones en su paso por la educación secundaria, cuyas condiciones etarias, de clase y de género toman particular relevancia. Se plantea así un acercamiento que aborda los procesos, prácticas y sentidos que inciden en el paso de estos jóvenes por la educación secundaria que se expresan en sus distintas trayectorias educativas y experiencias propias de la cotidianidad escolar. Así, esta investigación parte de la pregunta ¿Qué lugar ocupa la escuela en las experiencias juveniles de las y los jóvenes asháninkas y cómo estas afectan sus trayectorias educativas en su paso por la educación secundaria? En la presente investigación se trabaja principalmente a partir de las experiencias de un grupo de jóvenes asháninkas que cursan, o hayan cursado, su educación secundaria en la Comunidad Nativa de Oviri del distrito de Río Tambo (provincia de Satipo, región Junín). No obstante, a lo largo de la investigación se entra en dialogo con las voces de padres,
madres, autoridades comunales y docentes de la escuela que aporten a la comprensión de la escolarización entre las y los jóvenes asháninkas",http://hdl.handle.net/20.500.12404/12595,"Trayectorias educativas de jóvenes indígenas Asháninka del distrito de Río Tambo, Satipo. Una aproximación a las diversas experiencias de la escolaridad",Antropología
4,"Cánepa Koch, Gisela Elvira","Guerrero Arenas, Sara Lucía",2016-09,"La presente investigación aborda el estudio de las políticas culturales patrimoniales como
producciones sociales en un contexto neoliberal a partir de la interacción del Estado, la
sociedad civil y los organismos multilaterales. El objetivo principal es el de analizar la
construcción social de la idea de patrimonio a través del proceso de patrimonialización de la
Festividad de la Virgen de la Candelaria de Puno. Como objetivos secundarios busco: a)
describir el proceso de postulación ante la UNESCO a partir de sus distintas etapas y actores
involucrados; b) analizar la articulación y negociación de diversas miradas e interpretaciones
en torno a la festividad; y, c) analizar los efectos que desprenden del proceso de
patrimonialización para la festividad y sus actores.

El “patrimonio” entendido como una construcción social sugiere que es a partir de un proceso
político que lo patrimonial, o lo que hemos llamado “relato patrimonial”, emerge. Este proceso
de construcción comienza con un escenario social específico, donde las personas elaboran
significados e interpretaciones alrededor de la práctica a patrimonializar, la cual les es propia y
muchas veces es constitutiva de su identidad. Estos significados e interpretaciones no siempre
son homogéneos entre los “portadores”, por lo que la producción de un relato oficial se vuelve
necesaria para poder acceder a un “régimen patrimonial” que permite entrar en sintonía con
ciertos mandatos culturales del neoliberalismo.",http://hdl.handle.net/20.500.12404/13946,"Disputas, consensos y usos del ‘patrimonio’ : la patrimonialización de la Festividad de la Virgen de la Candelaria de Puno ante la UNESCO",Antropología
5,"Correa Aste, Norma Belén","Corzo Ojeda, Jimena Alejandra",2018,"En la última década, en el Perú las políticas de inclusión financiera se han vuelto prioritarias implementándose a través de diversas iniciativas desde el sector público y privado. El tema ha sido generalmente estudiado desde la disciplina económica. El objetivo principal de esta investigación es llamar la atención sobre los beneficiarios y sus experiencias como sujetos participantes de estos programas y especialmente, sobre la importancia del análisis del entramado sociocultural para comprender la complejidad de la racionalidad y el comportamiento económico de los individuos. Para ello me concentro en la experiencia de un grupo de mujeres residentes en el distrito de San Jerónimo (Andahuaylas, Apurímac), usuarias del Programa Nacional de Transferencia Monetaria Condicionada “Juntos”, quienes en su mayoría participaron del programa piloto “Promoción del Ahorro en Familias Juntos"". El trabajo de campo se realizó entre el 1 de setiembre hasta el 30 de octubre del año 2012, 6 meses después de culminada la labor del programa piloto de ahorro. La
recolección y el análisis de la información se realizaron tomando en cuenta los
conceptos de la Antropología para el Desarrollo y la Antropología Económica cuya visión de la economía como un espacio múltiple compuesto también por una dimensión subjetiva, la cultura, hicieron posible visibilizar la existencia de factores de naturaleza cultural, pocas veces sujetos de análisis, que permean las decisiones del grupo poblacional entendido como “mujeres pobres rurales”, como el uso de servicios financieros formales. Adicionalmente, la perspectiva utilizada permitió pensar en la influencia de las prácticas de los ejecutores de los programas de desarrollo durante la etapa de implementación del proyecto. Nuestros hallazgos y conclusiones discuten los supuestos que subyacen a las políticas de inclusión financiera y desmitifican el paradigma económico del individuo “perfectamente racional” hasta concluir que la decisión de las mujeres usuarias de Juntos de usar servicios financieros formales es influenciada por elementos provenientes del mundo que las rodea y la esfera cultural",http://hdl.handle.net/20.500.12404/12596,"Más allá de las estadísticas sobre inclusión financiera : percepciones, estrategias y prácticas de mujeres rurales en situación de pobreza sobre los servicios financieros formales",Antropología
6,"Espinosa de Rivero, Oscar Alberto","Villasante Guerrero, Rubén Ernesto",2020,"Los peritajes antropológicos o culturales constituyen actuaciones jurídicas
importantes para el debido proceso de personas que tienen una cultura diferente
a la cultura oficial y que se hallan involucradas en procesos judiciales. En este
caso se trata de pueblos indígenas de la Amazonía. Es un trabajo especializado
realizado por un experto que evalúa la pertenencia y prácticas culturales nativas
de la persona imputada. Está amparada en el artículo 15 del Código Penal que
establece eximir o atenuar la pena, si el hecho punible fue cometido por un error
culturalmente condicionado.
El presente informe profesional contiene cinco pericias realizadas como
parte de las acciones promovidas por la Oficina Defensorial de Loreto de la
Defensoría del Pueblo para superar la vulnerabilidad jurídica en que se hallan
las poblaciones indígenas. Cuatro casos evaluados fueron delitos contra el
cuerpo y la salud (violación de menor, uno de ellos con el agravante de incesto)
y un caso de homicidio simple. En todos los casos se determinó la pertenencia
a comunidades nativas (dos kukama, dos kichuas del Alto Napo y un kandozi) y
el haber sido formados con las pautas culturales nativas correspondientes. Los
dictámenes están redactados en forma de relatos, con un lenguaje asequible,
orientados a ilustrar a los jueces sobre las pautas culturales que configuran el
comportamiento de los nativos involucrados. En todos los casos las sentencias
emitidas redujeron considerablemente las penas solicitadas por la Fiscalía para
los delitos imputados (por ejemplo, de veinticinco años solicitado por el fiscal a
cinco años), excepto en el caso de incesto.
Cultural or anthropological expertise constitute important legal actions for
the due process of people who have a different culture from the official culture
and who are involved in legal processes. In this case it has been from indigenous
people of the Amazon territory. It is a specialized work carried out by an expert
who evaluate the belonging and native cultural practices of the imputed person.
It is protected in article 15 of the Penal Code that establishes exemption or
mitigation of the penalty, if the punishable act was committed by a culturally
conditioned error.
This professional report contains five expertise carried out as part of the
actions promoted by the Ombudsman's Loreto Office to overcome the legal
vulnerability of indigenous populations. Four cases evaluated were crimes
against the body and health (rape of a minor, one of them with the aggravation of
incest) and one case of simple homicide. In all cases were determined the
belonging to native communities (two kukama, two kichuas from the Alto Napo
and one kandozi) and has been formed with the corresponding native cultural
guidelines. The dictums are written in the form of stories, with accessible
language, aimed at illustrating the judges on the cultural guidelines that guide the
behavior of the natives involved. In all cases, the sentences issued considerably
reduced the penalties requested by the prosecution for the crimes attributed (for
example, from twenty-five years requested by the prosecutor to five years),
except in the case of incest.",http://hdl.handle.net/20.500.12404/18276,¿Inculpado?... ¿No es el que no tiene culpa? (Peritajes antropológicos en la Amazonía Peruana),Antropología
7,"Salas Carreño, Guillermo","D’Angelo Piaggio, Francesco Ezio",2020-06,"La presente investigación se centra en las maneras en que los
comuneros de la comunidad campesina de Chahuaytire, ubicada a 50 minutos
en transporte colectivo del centro del distrito de Pisaq sobre los 3800 msnm en
Cusco, negocian su estatus social dentro de la comunidad a través de las
formas en que construyen y modifican sus casas. Chahuaytire está inmerso en
el contexto turístico cusqueño que implica la relación e interacción entre
promotores de desarrollo, empleados de turismo, turistas y campesinos. Hace
treinta años aproximadamente los miembros de la comunidad vieron el
potencial monetario del turismo a través de la producción y venta de tejidos
gracias al apoyo de algunos promotores de desarrollo primero y de turismo
después; sin embargo, en los últimos años las iniciativas para implementar
nuevas actividades turísticas en la comunidad se han incrementado. El
reconocimiento social dentro de Chahuaytire se da desde su posición como
campesinos quechua-hablantes y sus nociones de progreso que están
relacionadas a las formas de estratificación étnica social regional y está influido
por las aspiraciones urbanas de los comuneros y sus expectativas por
articularse cada vez más al turismo como un actividad económica remunerada,
en particular al turismo vivencial, que supone hospedar a turistas en sus
hogares. Por ello, las formas de construcción o modificación de sus casas se
realizan siguiendo modelos urbanos para mejorar o en función de que sean
atractivas y aptas para los turistas. De este modo, el estatus social dentro de
Chahuaytire se ancla en las diferencias entre las casas, los materiales, la
ubicación, acabados y diseños de las mismas. Estas diferencias están en
diálogo con narrativas de modernidad estableciendo contraste temporales y
valorativos entre lo que es proyectado al pasado y lo que es considerado
contemporáneo y reciente. Esta investigación es una etnografía de las formas
en que un contexto turístico se articula y engrana con las dinámicas cotidianas
y de expectativas de futuro de una comunidad rural cusqueña.",http://hdl.handle.net/20.500.12404/16738,"Las Casas de Chahuaytire :  expectativas sobre el turismo, nociones de progreso y jerarquías sociales  en una comunidad campesina cusqueña.",Antropología
8,"Ames Ramello, Patricia Paola","Delgado Alvites, José Miguel Eleodoro",2021-02,"El presente trabajo explora y analiza las estrategias utilizadas por los
estudiantes y egresados de la carrera de derecho de la Universidad Señor de
Sipán para obtener un trabajo relacionado con sus estudios. La metodología
utilizada fue mixta, priorizando la experiencia etnográfica para obtener los datos
necesarios para sustentar la investigación. En este sentido, se realizaron
observaciones a las instalaciones de la universidad como espacio de estudio;
donde se pudo aplicar un conjunto de entrevistas y encuestas a los estudiantes
y a algunos egresados. Datos que fueron comparados con la información
estadística de la realidad nacional y local. Del mismo modo, debido al enfoque
etnográfico que se pretendió dar al trabajo, se buscó contar con un par de
informantes claves -egresados de la carrera de derecho-, con quienes se trabajó
de manera cercana, permitiendo extraer situaciones de su cotidianidad que
permitió elaborar un par de casos de estudio como se expone al final de la tesis.
El marco teórico utilizado permitió analizar las diferentes dotaciones de
capitales -desde los planteamientos de Bourdieu- de los estudiantes y egresados
para hacer un esbozo de su realidad socioeconómica y analizar la forma como
usaron estos capitales. En este sentido, la manera como usaron sus desiguales
dotaciones de capitales les permitió construir diferentes estrategias de acuerdo
con las posibilidades socioeconómicas que tuvieron. Así, puedo observarse que
la estrategia más valorada entre los estudiantes y los egresados consistió en la que utilizaba de su capital social para obtener recomendaciones que les
permitieran obtener el trabajo deseado.",http://hdl.handle.net/20.500.12404/19476,Los dados fueron lanzados: estrategias para insertarse en el mercado laboral. ¿Cómo encuentran su primer trabajo los estudiantes y egresados de derecho de la universidad Señor de Sipán?,Antropología
9,"Ames Ramello, Patricia Paola","Palacios Rojo, Gabriela",2019-03,"El embarazo adolescente es un fenómeno que ha sido pensado y discutido en
nuestro país, de manera amplia, en las últimas décadas. Sin embargo, son
escasas las investigaciones antropológicas sobre este en contextos indígenas
donde la tasa de fecundidad se mantiene alta a pesar de los esfuerzos estatales
y organismos no gubernamentales para su reducción.
La presente investigación, desde un enfoque cualitativo etnográfico, explora los
significados y las experiencias del embarazo adolescente. En ese sentido, se
indaga y analiza cómo las adolescentes embarazadas conciben el embarazo
dentro de sus proyectos de vida, así como, se busca comprender las
representaciones culturales que elaboran los actores relevantes (padres de
familia, personal de las instituciones estatales, adolescentes) sobre la
adolescencia y el embarazo en la comunidad nativa Nuevo Paraíso, Ucayali,
región que ocupa el tercer lugar en la tasa más alta de embarazo adolescente
en el país (23, 1%) (INEI 2018: 99). Los resultados obtenidos evidencian que los
y las adolescentes shipibas generan pautas específicas de interacción y
vivencias de la sexualidad en contextos socioeconómicos cambiantes y de
mayor movilidad de la población. En este escenario, las vivencias de las
adolescentes embarazadas son diversas y distan de ser todas negativas. Por un
lado, la presencia familiar, la estabilidad con la pareja y la asistencia casi
completa a la escuela fomentan un escenario favorable para un embarazo y una
maternidad deseada, donde este adquiere valoraciones positivas que posibilitan
la adquisición del estatus de adultez y el reconocimiento como comuneras
activas, desplegando agencia y autonomía en sus decisiones. Por otro lado, los
embarazos no deseados se producen en contextos donde los padres han estado
ausentes y las parejas han sido inestables lo cual conlleva a situaciones",http://hdl.handle.net/20.500.12404/13878,"¿Queremos ser madres? : vivencias y significados del embarazo adolescente en la comunidad nativa Nuevo Paraíso, Ucayali",Antropología
