,name,code
0,1. Doctorado,com_20.500.12404_1
1,2. Maestría,com_20.500.12404_2
2,3. Licenciatura,com_20.500.12404_3
3,4. Bachillerato,com_20.500.12404_1253
4,5. Segunda Especialidad,com_20.500.12404_8339
5,CENTRUM,com_20.500.12404_742
6,CENTRUM,com_20.500.12404_776
7,Doctorado por Destacada Trayectoria Académica,com_20.500.12404_4738
8,Escuela de Posgrado,com_20.500.12404_740
9,Escuela de Posgrado,com_20.500.12404_777
10,Facultad de Administración y Contabilidad,com_20.500.12404_5
11,Facultad de Arquitectura y Urbanismo,com_20.500.12404_10050
12,Facultad de Arquitectura y Urbanismo,com_20.500.12404_16550
13,Facultad de Artes Escénicas,com_20.500.12404_7735
14,Facultad de Artes Escénicas,com_20.500.12404_16560
15,Facultad de Arte y Diseño,com_20.500.12404_16552
16,Facultad de Arte y Diseño,com_20.500.12404_735
17,Facultad de Ciencias Administrativas,com_20.500.12404_1418
18,Facultad de Ciencias Contables,com_20.500.12404_12869
19,Facultad de Ciencias Contables,com_20.500.12404_14929
20,Facultad de Ciencias e Ingeniería,com_20.500.12404_13334
21,Facultad de Ciencias e Ingeniería,com_20.500.12404_7
22,Facultad de Ciencias Sociales,com_20.500.12404_5219
23,Facultad de Ciencias Sociales,com_20.500.12404_6
24,Facultad de Ciencias y Artes de la Comunicación,com_20.500.12404_15905
25,Facultad de Ciencias y Artes de la Comunicación,com_20.500.12404_18
26,Facultad de Derecho,com_20.500.12404_8340
27,Facultad de Derecho,com_20.500.12404_709
28,Facultad de Derecho,com_20.500.12404_1255
29,Facultad de Educación,com_20.500.12404_5465
30,Facultad de Educación,com_20.500.12404_20
31,Facultad de Educación,com_20.500.12404_8363
32,Facultad de Estudios Interdisciplinarios,com_20.500.12404_16544
33,Facultad de Gestión y Alta Dirección,com_20.500.12404_877
34,Facultad de Gestión y Alta Dirección,com_20.500.12404_16463
35,Facultad de Letras y Ciencias Humanas,com_20.500.12404_1257
36,Facultad de Letras y Ciencias Humanas,com_20.500.12404_22
37,Facultad de Psicología,com_20.500.12404_16528
38,Facultad de Psicología,com_20.500.12404_9470
39,Facultad de Psicología,com_20.500.12404_15779
40,Maestría por Destacada Trayectoria Académica,com_20.500.12404_1390
41,Administración,col_20.500.12404_1581
42,Administración de la Energía,col_20.500.12404_16484
43,Administración de Negocios,col_20.500.12404_741
44,Administración de Negocios Globales,col_20.500.12404_4580
45,Administración de Negocios Globales de Energía y Minería,col_20.500.12404_16485
46,Administración de Negocios (Mag.),col_20.500.12404_4582
47,Administración Estratégica de Empresas (Dr.),col_20.500.12404_779
48,Administración Estratégica de Empresas (Mag.),col_20.500.12404_780
49,Administración Estratégica de Negocios,col_20.500.12404_743
50,Administración Estratégica de Negocios Alimentarios Globales,col_20.500.12404_16486
51,Administración Estratégica de Negocios Jurídicos,col_20.500.12404_16487
52,Altos Estudios Amazónicos,col_20.500.12404_7857
53,Antropología con mención en Estudios Andinos,col_20.500.12404_4869
54,Antropología con mención en Estudios Andinos,col_20.500.12404_16471
55,Antropología (Dr.),col_20.500.12404_778
56,Antropología Forense y Bioarqueología,col_20.500.12404_745
57,Antropología (Lic.),col_20.500.12404_1027
58,Antropología (Mag.),col_20.500.12404_744
59,Antropología Visual,col_20.500.12404_1350
60,Argumentación Jurídica,col_20.500.12404_16256
61,Arqueología,col_20.500.12404_15752
62,Arqueología,col_20.500.12404_26
63,Arqueología Aplicada,col_20.500.12404_16488
64,Arqueología con mención en Estudios Andinos,col_20.500.12404_16477
65,Arqueología con mención en Estudios Andinos,col_20.500.12404_1667
66,Arquitectura,col_20.500.12404_10051
67,Arquitectura,col_20.500.12404_16551
68,"Arquitectura, Urbanismo y Desarrollo Territorial Sostenible",col_20.500.12404_14121
69,Arquitectura y Procesos Proyectuales,col_20.500.12404_13212
70,Arte con mención en Diseño Gráfico,col_20.500.12404_830
71,Arte con mención en Diseño Gráfico,col_20.500.12404_16553
72,Arte con mención en Diseño Industrial,col_20.500.12404_857
73,Arte con Mención en Diseño Industrial,col_20.500.12404_16554
74,Arte con mención en Educación Artística,col_20.500.12404_16534
75,Arte con mención en Educación Artística,col_20.500.12404_16555
76,Arte con mención en Escultura,col_20.500.12404_16556
77,Arte con mención en Escultura,col_20.500.12404_1536
78,Arte con mención en Grabado,col_20.500.12404_965
79,Arte con mención en Grabado,col_20.500.12404_16557
80,Arte con mención en Pintura,col_20.500.12404_16558
81,Arte con mención en Pintura,col_20.500.12404_736
82,"Arte, Moda y Diseño Textil",col_20.500.12404_16559
83,"Arte, Moda y Diseño Textil",col_20.500.12404_16533
84,Artes Escénicas,col_20.500.12404_14904
85,Artes Escénicas,col_20.500.12404_19
86,Artes Escénicas con mención en Creación y Producción Escénica,col_20.500.12404_16561
87,Artes Escénicas con mención en Danza,col_20.500.12404_16562
88,Artes Escénicas con mención en Música,col_20.500.12404_16563
89,Artes Escénicas con mención en Teatro,col_20.500.12404_16564
90,"Audición, Lenguaje y Aprendizaje",col_20.500.12404_12593
91,• Bibliotecología y Ciencia de la Información,col_20.500.12404_1050
92,Biocomercio y Desarrollo Sostenible,col_20.500.12404_4463
93,Ciencia Política,col_20.500.12404_17380
94,Ciencia Política con mención en Gestión Pública,col_20.500.12404_13582
95,Ciencia Política con mención en Relaciones Internacionales,col_20.500.12404_12876
96,Ciencia Política y Gobierno con mención en Administración Pública,col_20.500.12404_7389
97,Ciencia Política y Gobierno con mención en Gerencia Pública,col_20.500.12404_5168
98,Ciencia Política y Gobierno con mención en Instituciones Políticas,col_20.500.12404_5893
99,Ciencia Política y Gobierno con mención en Políticas Públicas y Gestión Pública,col_20.500.12404_5170
100,Ciencia Política y Gobierno con mención en Políticas Públicas y Sociedad Civil,col_20.500.12404_5166
101,Ciencia Política y Gobierno (Dr.),col_20.500.12404_5272
102,Ciencia Política y Gobierno (Lic.),col_20.500.12404_1054
103,Ciencia Política y Relaciones Internacionales,col_20.500.12404_5167
104,Ciencia Política y Relaciones Internacionales con Mención en Política Comparada,col_20.500.12404_5169
105,Ciencia Política y Relaciones Internacionales con Mención en Relaciones Internacionales,col_20.500.12404_5171
106,Ciencias,col_20.500.12404_1391
107,Ciencias Administrativas,col_20.500.12404_1419
108,Ciencias con mención en Energía,col_20.500.12404_6284
109,Ciencias con mención en Estadística,col_20.500.12404_15963
110,Ciencias con mención en Física,col_20.500.12404_15958
111,Ciencias con mención en Ingeniería Biomédica,col_20.500.12404_16565
112,Ciencias con mención en Ingeniería Civil,col_20.500.12404_13336
113,Ciencias con mención en Ingeniería de las Telecomunicaciones,col_20.500.12404_15959
114,Ciencias con mención en Ingeniería de Minas,col_20.500.12404_15918
115,Ciencias con mención en Ingeniería Electrónica,col_20.500.12404_15941
116,Ciencias con mención en Ingeniería Geológica,col_20.500.12404_15646
117,Ciencias con mención en Ingeniería Industrial,col_20.500.12404_15820
118,Ciencias con mención en Ingeniería Informática,col_20.500.12404_15964
119,Ciencias con mención en Ingeniería Mecánica,col_20.500.12404_15924
120,Ciencias con mención en Ingeniería Mecatrónica,col_20.500.12404_15843
121,Ciencias con mención en Matemáticas,col_20.500.12404_15962
122,Ciencias con mención en Química,col_20.500.12404_15917
123,Ciencias de la Educación (Dr.),col_20.500.12404_6239
124,Ciencias de la Información,col_20.500.12404_29
125,Ciencias (Dr.),col_20.500.12404_7484
126,Ciencias Sociales con mención en Antropología,col_20.500.12404_15969
127,Ciencias Sociales con mención en Ciencia Política y Gobierno,col_20.500.12404_15970
128,Ciencias Sociales con mención en Economía,col_20.500.12404_15864
129,Ciencias Sociales con mención en Finanzas,col_20.500.12404_15971
130,Ciencias Sociales con mención en Relaciones Internacionales,col_20.500.12404_15972
131,Ciencias Sociales con mención en Sociología,col_20.500.12404_5220
132,Ciencias y Artes de la Comunicación con mención en Comunicación Audiovisual,col_20.500.12404_16053
133,Ciencias y Artes de la Comunicación con mención en Comunicación para el Desarrollo,col_20.500.12404_15906
134,Ciencias y Artes de la Comunicación con mención en Periodismo,col_20.500.12404_16112
135,Ciencias y Artes de la Comunicación con mención en Publicidad,col_20.500.12404_16111
